bhk_type,carpet_area_sqft,super_built_up_area_sqft,floor_number,total_floors,building_age_years,lift_available,furnishing_status,modular_kitchen,bathrooms,balconies,ac_units,wardrobes,flooring_type,gated_community,security,clubhouse,gym,swimming_pool,parking_type,power_backup,water_supply,maintenance_charges,locality,pin_code,society_type,distance_to_metro_km,distance_to_it_park_km,distance_to_school_km,distance_to_hospital_km,rental_price,purchase_price,price_per_sqft,brokerage_type,days_since_listed,locality_tier,furnishing_status_encoded,bhk_number,bhk_type_encoded,locality_Aundh,locality_Baner,locality_Hadapsar,locality_Hinjewadi,locality_Kalyani Nagar,locality_Kharadi,locality_Koregaon Park,locality_Kothrud,locality_Magarpatta,locality_Nigdi,locality_Pimple Saudagar,locality_Pune Camp,locality_Shivajinagar,locality_Viman Nagar,locality_Wakad,norm_carpet_area_sqft,norm_super_built_up_area_sqft,norm_floor_number,norm_total_floors,norm_building_age_years,norm_lift_available,norm_modular_kitchen,norm_bathrooms,norm_balconies,norm_ac_units,norm_wardrobes,norm_gated_community,norm_security,norm_clubhouse,norm_gym,norm_swimming_pool,norm_power_backup,norm_maintenance_charges,norm_pin_code,norm_distance_to_metro_km,norm_distance_to_it_park_km,norm_distance_to_school_km,norm_distance_to_hospital_km,norm_price_per_sqft,norm_days_since_listed,norm_locality_tier,norm_locality_Aundh,norm_locality_Baner,norm_locality_Hadapsar,norm_locality_Hinjewadi,norm_locality_Kalyani Nagar,norm_locality_Kharadi,norm_locality_Koregaon Park,norm_locality_Kothrud,norm_locality_Magarpatta,norm_locality_Nigdi,norm_locality_Pimple Saudagar,norm_locality_Pune Camp,norm_locality_Shivajinagar,norm_locality_Viman Nagar,norm_locality_Wakad,floor_ratio,connectivity_score,area_per_bhk
2 BHK,551.49,669.64,14,18,10,1,Unfurnished,0,2,2,1,3,Vitrified,1,1,0,0,0,Bike,0,Municipal,1849.19,Hadapsar,411028,Society,6.66,2.06,1.7,2.5,9046.2,3462727.15,6278.857549547589,Builder,16,3,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1395009380144722,0.1447493014591742,0.6666666666666666,0.7368421052631579,0.5,1.0,0.0,0.2,0.4,0.2,0.2222222222222222,1.0,1.0,0.0,0.0,0.0,0.0,0.1203801442005406,0.482142857143117,0.8972222222222223,0.1546134663341645,0.5415162454873647,0.752,0.0466225289923737,0.1363636363636363,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.3767598940534346,275.745
4 BHK,1480.78,1631.99,6,6,9,1,Semi-Furnished,1,5,4,1,5,Vitrified,0,1,0,0,1,Stilt,1,Not Specified,6018.07,Aundh,411007,Standalone,2.5,3.09,1.06,1.02,64816.62,15751724.75,10637.451039317117,Broker,13,2,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5842394425513994,0.518216392424713,0.2857142857142857,0.1052631578947368,0.45,1.0,1.0,0.8,0.8,0.2,0.4444444444444445,0.0,1.0,0.0,0.0,1.0,1.0,0.5987018738727161,0.107142857143117,0.3194444444444444,0.2402327514546965,0.3104693140794224,0.16,0.1812395529238224,0.109090909090909,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6941938951342059,370.195
2 BHK,782.43,943.61,4,8,2,1,Semi-Furnished,1,2,2,2,3,Granite,1,1,0,1,0,Stilt,1,Corporation + Borewell,3969.3,Kalyani Nagar,411006,Society,2.18,5.72,1.2,1.03,53008.65,9219249.35,11782.842362895084,Owner,46,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2500239289406179,0.2510710959329401,0.1904761904761904,0.2105263157894736,0.1,1.0,1.0,0.2,0.4,0.4,0.2222222222222222,1.0,1.0,0.0,1.0,0.0,1.0,0.3636336516882295,0.089285714286234,0.275,0.4588528678304238,0.3610108303249097,0.164,0.2166156847290154,0.409090909090909,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6358582763529617,391.215
1 BHK,429.61,490.16,1,8,9,1,Fully Furnished,1,1,1,1,1,Marble,1,1,1,1,1,Covered,1,Corporation + Borewell,2753.64,Kalyani Nagar,411006,Society,1.43,4.8,2.08,1.46,30564.79,6375895.85,14841.12532296734,Not Specified,56,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0811717523641793,0.0750970195591431,0.0476190476190476,0.2105263157894736,0.45,1.0,1.0,0.0,0.2,0.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2241533610842118,0.089285714286234,0.1708333333333333,0.3823773898586866,0.6787003610108304,0.3359999999999999,0.311071460780765,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.6487768414996542,429.61
2 BHK,693.5,758.97,15,18,8,1,Unfurnished,1,2,3,1,3,Vitrified,1,0,0,0,0,Open,0,Municipal,857.82,Wakad,411057,Society,4.65,2.87,1.97,2.4,20270.17,7813221.02,11266.360519105983,Broker,29,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2074639151575481,0.179416330332195,0.7142857142857142,0.7368421052631579,0.4,1.0,1.0,0.2,0.6000000000000001,0.2,0.2222222222222222,1.0,0.0,0.0,0.0,0.0,0.0,0.0066340509704393,1.0,0.6180555555555556,0.2219451371571072,0.6389891696750902,0.712,0.2006647830529121,0.2545454545454545,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.4559073350978502,346.75
1 BHK,504.23,584.16,1,19,10,1,Semi-Furnished,1,1,1,0,2,Vitrified,1,1,0,0,0,Covered,0,Tanker,1257.95,Pune Camp,411001,Society,2.3,5.69,1.61,1.97,10475.19,3757511.88,7451.980009122821,Owner,30,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1168833033423944,0.1115763737969574,0.0476190476190476,0.7894736842105263,0.5,1.0,1.0,0.0,0.2,0.0,0.1111111111111111,1.0,1.0,0.0,0.0,0.0,0.0,0.0525434735716482,0.0,0.2916666666666666,0.456359102244389,0.5090252707581228,0.54,0.0828545025740113,0.2636363636363636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05263157894736842,0.5308431820083497,504.23
2 BHK,513.34,595.33,10,16,6,1,Unfurnished,0,2,2,1,3,Vitrified,0,0,0,0,0,Stilt,0,Borewell,800.0,Hinjewadi,411057,Society,5.95,0.25,2.61,3.1,20975.46,4013125.04,7817.674523707484,Owner,8,3,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1212431563229832,0.1159112076994722,0.4761904761904761,0.631578947368421,0.3,1.0,0.0,0.2,0.4,0.2,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7986111111111112,0.0041562759767248,0.8700361010830325,0.9920000000000002,0.0941469194020041,0.0636363636363636,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.3939715550508681,256.67
2 BHK,421.79,458.99,8,13,7,1,Fully Furnished,1,2,1,1,4,Ceramic,1,1,1,0,0,Covered,0,Corporation + Borewell,800.0,Pimple Saudagar,411027,Society,3.46,5.7,1.57,1.75,12949.19,5767519.94,13673.913416629128,Owner,57,3,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0774292660515333,0.0630006209251785,0.3809523809523809,0.4736842105263157,0.35,1.0,1.0,0.2,0.2,0.2,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.464285714286234,0.4527777777777778,0.4571903574397339,0.4945848375451264,0.452,0.2750238746190253,0.5090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.5018226494309896,210.895
3 BHK,792.69,991.31,15,19,8,1,Semi-Furnished,1,4,2,2,6,Vitrified,1,1,0,0,0,Stilt,0,Municipal,2247.13,Hinjewadi,411057,Society,5.9,2.29,2.35,3.02,21981.88,9348950.29,11793.955127477322,Owner,9,3,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2549341475554194,0.269582427817448,0.7142857142857142,0.7894736842105263,0.4,1.0,1.0,0.6000000000000001,0.4,0.4,0.5555555555555556,1.0,1.0,0.0,0.0,0.0,0.0,0.1660382943765461,1.0,0.7916666666666667,0.1737323358270989,0.776173285198556,0.9600000000000002,0.216956971326984,0.0727272727272727,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,0.3491698346563433,264.23
3 BHK,817.56,929.5,12,14,3,1,Unfurnished,0,3,2,1,3,Marble,0,0,0,0,0,Open,0,Corporation + Borewell,3021.04,Magarpatta,411013,Standalone,4.74,1.5,1.76,2.3,13626.39,5987643.93,7323.797556142668,Broker,58,3,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2668364026187832,0.2455953120149022,0.5714285714285714,0.5263157894736842,0.15,1.0,0.0,0.4000000000000001,0.4,0.2,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.2548338389378175,0.214285714286234,0.6305555555555556,0.1080631753948462,0.5631768953068592,0.6719999999999999,0.0788940337543255,0.5181818181818182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.4998769163527954,272.52
1 RK,280.78,306.92,2,8,12,1,Unfurnished,1,2,1,1,1,Marble,1,1,1,1,1,Bike,1,Corporation + Borewell,1119.62,Kalyani Nagar,411006,Society,1.49,4.73,1.64,0.83,15974.18,5617884.96,20008.13790155994,Owner,6,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0099448677208162,0.0039855634895995,0.0952380952380952,0.2105263157894736,0.6000000000000001,1.0,1.0,0.2,0.2,0.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0366720057276344,0.089285714286234,0.1791666666666666,0.3765586034912718,0.51985559566787,0.084,0.4706623245539801,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.7152897079103129,280.78
1 BHK,452.92,501.68,8,15,10,1,Unfurnished,0,1,0,0,2,Not Specified,1,1,0,1,0,Covered,0,Municipal,2554.59,Pimple Saudagar,411027,Society,4.99,6.0,1.22,2.11,10378.52,3139406.27,6931.480769230769,Broker,36,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0923274244802634,0.0795676808444582,0.3809523809523809,0.5789473684210527,0.5,1.0,0.0,0.0,0.0,0.0,0.1111111111111111,1.0,1.0,0.0,1.0,0.0,0.0,0.2013151070948318,0.464285714286234,0.6652777777777779,0.482128013300083,0.3682310469314079,0.596,0.0667760431015632,0.3181818181818182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.38626557716909315,452.92
1 RK,386.63,473.63,5,18,14,1,Fully Furnished,0,1,0,0,1,Vitrified,1,1,0,0,0,Bike,1,Corporation + Borewell,1332.34,Aundh,411007,Society,3.13,3.12,1.65,1.7,17334.11,3510242.68,9079.07477433205,Owner,4,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606024350089972,0.0686820863085998,0.238095238095238,0.7368421052631579,0.7000000000000001,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0610787044898596,0.107142857143117,0.4069444444444444,0.2427265170407315,0.5234657039711191,0.432,0.1331091857673914,0.0272727272727272,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.592348282618111,386.63
2 BHK,665.51,815.36,12,16,8,1,Fully Furnished,1,2,1,1,3,Marble,1,0,1,1,0,Not Specified,0,Corporation + Borewell,1707.05,Shivajinagar,411005,Society,0.2,5.7,1.01,1.31,30817.61,7735710.76,11623.733317305525,Broker,21,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1940684941996248,0.2013000620925178,0.5714285714285714,0.631578947368421,0.4,1.0,1.0,0.2,0.2,0.2,0.2222222222222222,1.0,0.0,1.0,1.0,0.0,0.0,0.1040715311784332,0.071428571429351,0.0,0.4571903574397339,0.2924187725631769,0.276,0.2116996134350172,0.1818181818181818,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.6956780432863834,332.755
3 BHK,921.27,1032.64,9,20,17,1,Unfurnished,0,4,2,2,6,Ceramic,1,1,0,1,0,Covered,0,Municipal,1228.41,Hinjewadi,411057,Society,6.43,0.31,1.97,2.59,20598.27,4812288.36,5223.53746458693,Broker,25,3,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3164698112485164,0.2856217013349892,0.4285714285714285,0.8421052631578947,0.8500000000000001,1.0,0.0,0.6000000000000001,0.4,0.4,0.5555555555555556,1.0,1.0,0.0,1.0,0.0,0.0,0.0491541642380823,1.0,0.8652777777777778,0.0091438071487946,0.6389891696750902,0.788,0.0140267247481891,0.2181818181818181,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.42520178994013824,307.09
2 BHK,706.91,855.72,0,5,0,1,Semi-Furnished,1,2,1,1,2,Granite,1,1,0,1,1,Open,1,Tanker,3418.26,Koregaon Park,411001,Society,2.34,5.73,1.3,0.98,49840.17,21441521.52,30331.33145662107,Builder,32,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2138816570312798,0.2169628997205837,0.0,0.0526315789473684,0.0,1.0,1.0,0.2,0.2,0.2,0.1111111111111111,1.0,1.0,0.0,1.0,1.0,1.0,0.3004093790014273,0.0,0.2972222222222222,0.4596841230257689,0.3971119133574007,0.144,0.78949288208965,0.2818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6337203956582533,353.455
2 BHK,678.89,796.34,2,15,8,1,Unfurnished,0,3,1,0,3,Granite,0,0,0,1,0,Open,0,Borewell,1761.69,Hinjewadi,411057,Standalone,6.08,0.2,2.32,2.41,11750.74,7334545.56,10803.73191533238,Owner,42,3,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2004718787089858,0.1939188140329091,0.0952380952380952,0.5789473684210527,0.4,1.0,0.0,0.4000000000000001,0.2,0.0,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,0.1103407208191251,1.0,0.8166666666666667,0.0,0.7653429602888087,0.7160000000000001,0.1863742947258403,0.3727272727272727,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.4631964170598676,339.445
2 BHK,570.52,684.59,10,16,3,1,Unfurnished,1,2,1,1,4,Granite,1,1,0,0,0,Not Specified,0,Borewell,2075.84,Pimple Saudagar,411027,Society,4.07,4.69,1.38,2.06,13310.15,4412496.29,7734.165831171563,Broker,23,3,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1486082928136605,0.1505510710959329,0.4761904761904761,0.631578947368421,0.15,1.0,1.0,0.2,0.2,0.2,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.1463851191650871,0.464285714286234,0.5375000000000001,0.3732335827098919,0.4259927797833934,0.5760000000000001,0.0915698195165281,0.1999999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.625,0.46875345060136553,285.26
3 BHK,682.08,770.3,7,7,8,1,Semi-Furnished,1,4,1,3,5,Vitrified,1,1,0,1,0,Covered,1,Tanker,2930.85,Baner,411045,Society,3.1,3.69,1.63,2.4,40644.48,16693803.78,24474.84720267417,Owner,36,1,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2019985451204104,0.1838132567525613,0.3333333333333333,0.1578947368421052,0.4,1.0,1.0,0.6000000000000001,0.2,0.6000000000000001,0.4444444444444445,1.0,1.0,0.0,1.0,0.0,1.0,0.2444857749975905,0.7857142857146755,0.4027777777777778,0.2901080631753948,0.516245487364621,0.712,0.6086137648760805,0.3181818181818182,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5033777409084033,227.36
4 BHK,1209.76,1543.22,11,11,10,1,Semi-Furnished,1,5,4,2,7,Vitrified,1,1,0,0,0,Covered,1,Municipal,3138.38,Hinjewadi,411057,Society,5.54,0.84,1.92,2.37,42789.29,10271364.16,8490.414759952388,Owner,27,3,1,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4545350128259122,0.4837666873641726,0.5238095238095237,0.368421052631579,0.5,1.0,1.0,0.8,0.8,0.4,0.6666666666666665,1.0,1.0,0.0,0.0,0.0,1.0,0.2682969925329637,1.0,0.7416666666666667,0.0532003325020781,0.6209386281588447,0.7000000000000001,0.1149264859402276,0.2363636363636363,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.47435080057729284,302.44
