bhk_type,carpet_area_sqft,super_built_up_area_sqft,floor_number,total_floors,building_age_years,lift_available,furnishing_status,modular_kitchen,bathrooms,balconies,ac_units,wardrobes,flooring_type,gated_community,security,clubhouse,gym,swimming_pool,parking_type,power_backup,water_supply,maintenance_charges,locality,pin_code,society_type,distance_to_metro_km,distance_to_it_park_km,distance_to_school_km,distance_to_hospital_km,rental_price,purchase_price,price_per_sqft,brokerage_type,days_since_listed,locality_tier,furnishing_status_encoded,bhk_number,bhk_type_encoded,locality_Aundh,locality_Baner,locality_Hadapsar,locality_Hinjewadi,locality_Kalyani Nagar,locality_Kharadi,locality_Koregaon Park,locality_Kothrud,locality_Magarpatta,locality_Nigdi,locality_Pimple Saudagar,locality_Pune Camp,locality_Shivajinagar,locality_Viman Nagar,locality_Wakad,norm_carpet_area_sqft,norm_super_built_up_area_sqft,norm_floor_number,norm_total_floors,norm_building_age_years,norm_lift_available,norm_modular_kitchen,norm_bathrooms,norm_balconies,norm_ac_units,norm_wardrobes,norm_gated_community,norm_security,norm_clubhouse,norm_gym,norm_swimming_pool,norm_power_backup,norm_maintenance_charges,norm_pin_code,norm_distance_to_metro_km,norm_distance_to_it_park_km,norm_distance_to_school_km,norm_distance_to_hospital_km,norm_price_per_sqft,norm_days_since_listed,norm_locality_tier,norm_locality_Aundh,norm_locality_Baner,norm_locality_Hadapsar,norm_locality_Hinjewadi,norm_locality_Kalyani Nagar,norm_locality_Kharadi,norm_locality_Koregaon Park,norm_locality_Kothrud,norm_locality_Magarpatta,norm_locality_Nigdi,norm_locality_Pimple Saudagar,norm_locality_Pune Camp,norm_locality_Shivajinagar,norm_locality_Viman Nagar,norm_locality_Wakad
2 BHK,551.49,669.64,14,18,10,1,Unfurnished,0,2,2,1,3,Vitrified,1,1,0,0,0,Bike,0,Municipal,1849.19,Hadapsar,411028,Society,6.66,2.06,1.7,2.5,9046.2,3462727.15,6278.89,Builder,16,3,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.13950093801447222,0.1447493014591742,0.6666666666666666,0.7368421052631579,0.5,1.0,0.0,0.2,0.4,0.2,0.2222222222222222,1.0,1.0,0.0,0.0,0.0,0.0,0.12038014420054066,0.482142857143117,0.8972222222222223,0.15461346633416456,0.5415162454873647,0.752,0.046622528992373735,0.13636363636363635,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 BHK,1480.78,1631.99,6,6,9,1,Semi-Furnished,1,5,4,1,5,Vitrified,0,1,0,0,1,Stilt,1,Not Specified,6018.07,Aundh,411007,Standalone,2.5,3.09,1.06,1.02,64816.62,15751724.75,10637.45,Broker,13,2,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5842394425513994,0.518216392424713,0.2857142857142857,0.10526315789473684,0.45,1.0,1.0,0.8,0.8,0.2,0.4444444444444445,0.0,1.0,0.0,0.0,1.0,1.0,0.5987018738727161,0.107142857143117,0.3194444444444444,0.24023275145469652,0.3104693140794224,0.16000000000000003,0.1812395529238224,0.10909090909090909,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 BHK,782.43,943.61,4,8,2,1,Semi-Furnished,1,2,2,2,3,Granite,1,1,0,1,0,Stilt,1,Corporation + Borewell,3969.3,Kalyani Nagar,411006,Society,2.18,5.72,1.2,1.03,53008.65,9219249.35,11782.84,Owner,46,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2500239289406179,0.25107109593294014,0.19047619047619047,0.21052631578947367,0.1,1.0,1.0,0.2,0.4,0.4,0.2222222222222222,1.0,1.0,0.0,1.0,0.0,1.0,0.3636336516882295,0.089285714286234,0.275,0.45885286783042384,0.3610108303249097,0.16400000000000003,0.2166156847290154,0.40909090909090906,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 BHK,429.61,490.16,1,8,9,1,Fully Furnished,1,1,1,1,1,Marble,1,1,1,1,1,Covered,1,Corporation + Borewell,2753.64,Kalyani Nagar,411006,Society,1.43,4.8,2.08,1.46,30564.79,6375895.85,14841.08,Not Specified,56,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.08117175236417935,0.07509701955914316,0.047619047619047616,0.21052631578947367,0.45,1.0,1.0,0.0,0.2,0.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2241533610842118,0.089285714286234,0.1708333333333333,0.3823773898586866,0.6787003610108304,0.33599999999999997,0.311071460780765,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 BHK,693.5,758.97,15,18,8,1,Unfurnished,1,2,3,1,3,Vitrified,1,0,0,0,0,Open,0,Municipal,857.82,Wakad,411057,Society,4.65,2.87,1.97,2.4,20270.17,7813221.02,11266.39,Broker,29,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.20746391515754814,0.179416330332195,0.7142857142857142,0.7368421052631579,0.4,1.0,1.0,0.2,0.6000000000000001,0.2,0.2222222222222222,1.0,0.0,0.0,0.0,0.0,0.0,0.006634050970439356,1.0,0.6180555555555556,0.2219451371571072,0.6389891696750902,0.712,0.2006647830529121,0.2545454545454545,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1 BHK,504.23,584.16,1,19,10,1,Semi-Furnished,1,1,1,0,2,Vitrified,1,1,0,0,0,Covered,0,Tanker,1257.95,Pune Camp,411001,Society,2.3,5.69,1.61,1.97,10475.19,3757511.88,7451.99,Owner,30,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.11688330334239443,0.11157637379695748,0.047619047619047616,0.7894736842105263,0.5,1.0,1.0,0.0,0.2,0.0,0.1111111111111111,1.0,1.0,0.0,0.0,0.0,0.0,0.05254347357164821,0.0,0.29166666666666663,0.456359102244389,0.5090252707581228,0.54,0.08285450257401134,0.2636363636363636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2 BHK,513.34,595.33,10,16,6,1,Unfurnished,0,2,2,1,3,Vitrified,0,0,0,0,0,Stilt,0,Borewell,800.0,Hinjewadi,411057,Society,5.95,0.25,2.61,3.1,20975.46,4013125.04,7817.61,Owner,8,3,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.12124315632298328,0.11591120769947225,0.47619047619047616,0.631578947368421,0.30000000000000004,1.0,0.0,0.2,0.4,0.2,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7986111111111112,0.004156275976724855,0.8700361010830325,0.9920000000000002,0.09414691940200412,0.06363636363636363,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 BHK,421.79,458.99,8,13,7,1,Fully Furnished,1,2,1,1,4,Ceramic,1,1,1,0,0,Covered,0,Corporation + Borewell,800.0,Pimple Saudagar,411027,Society,3.46,5.7,1.57,1.75,12949.19,5767519.94,13673.95,Owner,57,3,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.07742926605153337,0.06300062092517855,0.38095238095238093,0.4736842105263157,0.35000000000000003,1.0,1.0,0.2,0.2,0.2,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.464285714286234,0.4527777777777778,0.45719035743973396,0.4945848375451264,0.45200000000000007,0.27502387461902533,0.5090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3 BHK,792.69,991.31,15,19,8,1,Semi-Furnished,1,4,2,2,6,Vitrified,1,1,0,0,0,Stilt,0,Municipal,2247.13,Hinjewadi,411057,Society,5.9,2.29,2.35,3.02,21981.88,9348950.29,11793.89,Owner,9,3,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25493414755541943,0.269582427817448,0.7142857142857142,0.7894736842105263,0.4,1.0,1.0,0.6000000000000001,0.4,0.4,0.5555555555555556,1.0,1.0,0.0,0.0,0.0,0.0,0.1660382943765461,1.0,0.7916666666666667,0.1737323358270989,0.776173285198556,0.9600000000000002,0.21695697132698408,0.07272727272727272,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 BHK,817.56,929.5,12,14,3,1,Unfurnished,0,3,2,1,3,Marble,0,0,0,0,0,Open,0,Corporation + Borewell,3021.04,Magarpatta,411013,Standalone,4.74,1.5,1.76,2.3,13626.39,5987643.93,7323.76,Broker,58,3,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2668364026187832,0.24559531201490226,0.5714285714285714,0.5263157894736842,0.15000000000000002,1.0,0.0,0.4000000000000001,0.4,0.2,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.2548338389378175,0.214285714286234,0.6305555555555556,0.1080631753948462,0.5631768953068592,0.6719999999999999,0.07889403375432555,0.5181818181818182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1 RK,280.78,306.92,2,8,12,1,Unfurnished,1,2,1,1,1,Marble,1,1,1,1,1,Bike,1,Corporation + Borewell,1119.62,Kalyani Nagar,411006,Society,1.49,4.73,1.64,0.83,15974.18,5617884.96,20008.23,Owner,6,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00994486772081625,0.003985563489599525,0.09523809523809523,0.21052631578947367,0.6000000000000001,1.0,1.0,0.2,0.2,0.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03667200572763446,0.089285714286234,0.17916666666666667,0.3765586034912718,0.51985559566787,0.08400000000000002,0.47066232455398016,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 BHK,452.92,501.68,8,15,10,1,Unfurnished,0,1,0,0,2,Not Specified,1,1,0,1,0,Covered,0,Municipal,2554.59,Pimple Saudagar,411027,Society,4.99,6.0,1.22,2.11,10378.52,3139406.27,6931.41,Broker,36,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.09232742448026342,0.07956768084445826,0.38095238095238093,0.5789473684210527,0.5,1.0,0.0,0.0,0.0,0.0,0.1111111111111111,1.0,1.0,0.0,1.0,0.0,0.0,0.20131510709483186,0.464285714286234,0.6652777777777779,0.48212801330008304,0.36823104693140796,0.596,0.06677604310156321,0.3181818181818182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1 RK,386.63,473.63,5,18,14,1,Fully Furnished,0,1,0,0,1,Vitrified,1,1,0,0,0,Bike,1,Corporation + Borewell,1332.34,Aundh,411007,Society,3.13,3.12,1.65,1.7,17334.11,3510242.68,9079.11,Owner,4,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06060243500899727,0.06868208630859984,0.23809523809523808,0.7368421052631579,0.7000000000000001,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.06107870448985961,0.107142857143117,0.40694444444444444,0.2427265170407315,0.5234657039711191,0.43200000000000005,0.13310918576739147,0.02727272727272727,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 BHK,665.51,815.36,12,16,8,1,Fully Furnished,1,2,1,1,3,Marble,1,0,1,1,0,Not Specified,0,Corporation + Borewell,1707.05,Shivajinagar,411005,Society,0.2,5.7,1.01,1.31,30817.61,7735710.76,11623.67,Broker,21,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1940684941996248,0.20130006209251788,0.5714285714285714,0.631578947368421,0.4,1.0,1.0,0.2,0.2,0.2,0.2222222222222222,1.0,0.0,1.0,1.0,0.0,0.0,0.10407153117843326,0.071428571429351,0.0,0.45719035743973396,0.2924187725631769,0.276,0.21169961343501723,0.1818181818181818,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3 BHK,921.27,1032.64,9,20,17,1,Unfurnished,0,4,2,2,6,Ceramic,1,1,0,1,0,Covered,0,Municipal,1228.41,Hinjewadi,411057,Society,6.43,0.31,1.97,2.59,20598.27,4812288.36,5223.52,Broker,25,3,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3164698112485164,0.2856217013349892,0.42857142857142855,0.8421052631578947,0.8500000000000001,1.0,0.0,0.6000000000000001,0.4,0.4,0.5555555555555556,1.0,1.0,0.0,1.0,0.0,0.0,0.04915416423808236,1.0,0.8652777777777778,0.009143807148794678,0.6389891696750902,0.788,0.014026724748189195,0.21818181818181817,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 BHK,706.91,855.72,0,5,0,1,Semi-Furnished,1,2,1,1,2,Granite,1,1,0,1,1,Open,1,Tanker,3418.26,Koregaon Park,411001,Society,2.34,5.73,1.3,0.98,49840.17,21441521.52,30331.16,Builder,32,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.21388165703127987,0.21696289972058375,0.0,0.05263157894736842,0.0,1.0,1.0,0.2,0.2,0.2,0.1111111111111111,1.0,1.0,0.0,1.0,1.0,1.0,0.30040937900142733,0.0,0.2972222222222222,0.4596841230257689,0.39711191335740076,0.14400000000000002,0.78949288208965,0.2818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 BHK,678.89,796.34,2,15,8,1,Unfurnished,0,3,1,0,3,Granite,0,0,0,1,0,Open,0,Borewell,1761.69,Hinjewadi,411057,Standalone,6.08,0.2,2.32,2.41,11750.74,7334545.56,10803.7,Owner,42,3,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2004718787089858,0.19391881403290911,0.09523809523809523,0.5789473684210527,0.4,1.0,0.0,0.4000000000000001,0.2,0.0,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,0.11034072081912516,1.0,0.8166666666666667,0.0,0.7653429602888087,0.7160000000000001,0.18637429472584036,0.3727272727272727,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 BHK,570.52,684.59,10,16,3,1,Unfurnished,1,2,1,1,4,Granite,1,1,0,0,0,Not Specified,0,Borewell,2075.84,Pimple Saudagar,411027,Society,4.07,4.69,1.38,2.06,13310.15,4412496.29,7734.17,Broker,23,3,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.14860829281366056,0.15055107109593296,0.47619047619047616,0.631578947368421,0.15000000000000002,1.0,1.0,0.2,0.2,0.2,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.14638511916508715,0.464285714286234,0.5375000000000001,0.37323358270989193,0.42599277978339345,0.5760000000000001,0.09156981951652818,0.19999999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3 BHK,682.08,770.3,7,7,8,1,Semi-Furnished,1,4,1,3,5,Vitrified,1,1,0,1,0,Covered,1,Tanker,2930.85,Baner,411045,Society,3.1,3.69,1.63,2.4,40644.48,16693803.78,24474.75,Owner,36,1,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20199854512041043,0.18381325675256133,0.3333333333333333,0.15789473684210525,0.4,1.0,1.0,0.6000000000000001,0.2,0.6000000000000001,0.4444444444444445,1.0,1.0,0.0,1.0,0.0,1.0,0.24448577499759055,0.7857142857146755,0.4027777777777778,0.2901080631753948,0.516245487364621,0.712,0.6086137648760805,0.3181818181818182,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 BHK,1209.76,1543.22,11,11,10,1,Semi-Furnished,1,5,4,2,7,Vitrified,1,1,0,0,0,Covered,1,Municipal,3138.38,Hinjewadi,411057,Society,5.54,0.84,1.92,2.37,42789.29,10271364.16,8490.4,Owner,27,3,1,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4545350128259122,0.48376668736417267,0.5238095238095237,0.368421052631579,0.5,1.0,1.0,0.8,0.8,0.4,0.6666666666666665,1.0,1.0,0.0,0.0,0.0,1.0,0.26829699253296374,1.0,0.7416666666666667,0.05320033250207813,0.6209386281588447,0.7000000000000001,0.11492648594022761,0.23636363636363636,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 BHK,633.25,767.93,8,10,3,1,Unfurnished,0,2,3,0,3,Wooden,1,1,0,1,0,Covered,1,Corporation + Borewell,2165.24,Wakad,411057,Society,4.12,2.24,2.39,2.41,15021.79,5283050.86,8342.79,Broker,58,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17862954171292927,0.18289351133188453,0.38095238095238093,0.3157894736842105,0.15000000000000002,1.0,0.0,0.2,0.6000000000000001,0.0,0.2222222222222222,1.0,1.0,0.0,1.0,0.0,1.0,0.15664254145421333,1.0,0.5444444444444445,0.16957605985037405,0.7906137184115524,0.7160000000000001,0.11036745293333519,0.5181818181818182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
