listing_id,source,listing_url,bhk_type,carpet_area_sqft,super_built_up_area_sqft,floor_number,total_floors,building_age_years,lift_available,furnishing_status,modular_kitchen,bathrooms,balconies,ac_units,wardrobes,flooring_type,gated_community,security,clubhouse,gym,swimming_pool,parking_type,power_backup,water_supply,maintenance_charges,locality,pin_code,society_type,distance_to_metro_km,distance_to_it_park_km,distance_to_school_km,distance_to_hospital_km,rental_price,purchase_price,price_per_sqft,brokerage_type,days_since_listed
SYN-00011,synthetic,https://example.com/pune-listing/11,2 BHK,551.49,669.64,14,18,10,1,Unfurnished,0,2,2,1,3,Vitrified,1,1,0,0,0,Bike,0,Municipal,1849.19,Hadapsar,411028,Society,6.66,2.06,1.7,2.5,9046.2,3462727.15,6278.89,Builder,16
SYN-00012,synthetic,https://example.com/pune-listing/12,4 BHK,1480.78,1631.99,6,6,9,1,Semi-Furnished,1,5,4,1,5,Vitrified,0,1,0,0,1,Stilt,1,,6018.07,Aundh,411007,Standalone,2.5,3.09,1.06,1.02,64816.62,15751724.75,10637.45,Broker,13
SYN-00013,synthetic,https://example.com/pune-listing/13,2 BHK,782.43,943.61,4,8,2,1,Semi-Furnished,1,2,2,2,3,Granite,1,1,0,1,0,Stilt,1,Corporation + Borewell,3969.3,Kalyani Nagar,411006,Society,2.18,5.72,1.2,1.03,53008.65,9219249.35,11782.84,Owner,46
SYN-00014,synthetic,https://example.com/pune-listing/14,1 BHK,429.61,490.16,1,8,9,1,Fully Furnished,1,1,1,1,1,Marble,1,1,1,1,1,Covered,1,Corporation + Borewell,2753.64,Kalyani Nagar,411006,Society,1.43,4.8,2.08,1.46,30564.79,6375895.85,14841.08,,56
SYN-00015,synthetic,https://example.com/pune-listing/15,2 BHK,693.5,758.97,15,18,8,1,Unfurnished,1,2,3,1,3,Vitrified,1,0,0,0,0,Open,0,Municipal,857.82,Wakad,411057,Society,4.65,2.87,1.97,2.4,20270.17,7813221.02,11266.39,Broker,29
SYN-00016,synthetic,https://example.com/pune-listing/16,1 BHK,504.23,584.16,1,19,10,1,Semi-Furnished,1,1,1,0,2,Vitrified,1,1,0,0,0,Covered,0,Tanker,1257.95,Pune Camp,411001,Society,2.3,5.69,1.61,1.97,10475.19,3757511.88,7451.99,Owner,30
SYN-00017,synthetic,https://example.com/pune-listing/17,2 BHK,513.34,595.33,10,16,6,1,Unfurnished,0,2,2,1,3,Vitrified,0,0,0,0,0,Stilt,0,Borewell,800.0,Hinjewadi,411057,Society,5.95,0.25,2.61,3.1,20975.46,4013125.04,7817.61,Owner,8
SYN-00018,synthetic,https://example.com/pune-listing/18,2 BHK,421.79,458.99,8,13,7,1,Fully Furnished,1,2,1,1,4,Ceramic,1,1,1,0,0,Covered,0,Corporation + Borewell,800.0,Pimple Saudagar,411027,Society,3.46,5.7,1.57,1.75,12949.19,5767519.94,13673.95,Owner,57
SYN-00019,synthetic,https://example.com/pune-listing/19,3 BHK,792.69,991.31,15,19,8,1,Semi-Furnished,1,4,2,2,6,Vitrified,1,1,0,0,0,Stilt,0,Municipal,2247.13,Hinjewadi,411057,Society,5.9,2.29,2.35,3.02,21981.88,9348950.29,11793.89,Owner,9
SYN-00020,synthetic,https://example.com/pune-listing/20,3 BHK,817.56,929.5,12,14,3,1,Unfurnished,0,3,2,1,3,Marble,0,0,0,0,0,Open,0,Corporation + Borewell,3021.04,Magarpatta,411013,Standalone,4.74,1.5,1.76,2.3,13626.39,5987643.93,7323.76,Broker,58
SYN-00021,synthetic,https://example.com/pune-listing/21,1 RK,280.78,306.92,2,8,12,1,Unfurnished,1,2,1,1,1,Marble,1,1,1,1,1,Bike,1,Corporation + Borewell,1119.62,Kalyani Nagar,411006,Society,1.49,4.73,1.64,0.83,15974.18,5617884.96,20008.23,Owner,6
SYN-00022,synthetic,https://example.com/pune-listing/22,1 BHK,452.92,501.68,8,15,10,1,Unfurnished,0,1,0,0,2,,1,1,0,1,0,Covered,0,Municipal,2554.59,Pimple Saudagar,411027,Society,4.99,6.0,1.22,2.11,10378.52,3139406.27,6931.41,Broker,36
SYN-00023,synthetic,https://example.com/pune-listing/23,1 RK,386.63,473.63,5,18,14,1,Fully Furnished,0,1,0,0,1,Vitrified,1,1,0,0,0,Bike,1,Corporation + Borewell,1332.34,Aundh,411007,Society,3.13,3.12,1.65,1.7,17334.11,3510242.68,9079.11,Owner,4
SYN-00024,synthetic,https://example.com/pune-listing/24,2 BHK,665.51,815.36,12,16,8,1,Fully Furnished,1,2,1,1,3,Marble,1,0,1,1,0,None,0,Corporation + Borewell,1707.05,Shivajinagar,411005,Society,0.2,5.7,1.01,1.31,30817.61,7735710.76,11623.67,Broker,21
SYN-00025,synthetic,https://example.com/pune-listing/25,3 BHK,921.27,1032.64,9,20,17,1,Unfurnished,0,4,2,2,6,Ceramic,1,1,0,1,0,Covered,0,Municipal,1228.41,Hinjewadi,411057,Society,6.43,0.31,1.97,2.59,20598.27,4812288.36,5223.52,Broker,25
SYN-00026,synthetic,https://example.com/pune-listing/26,2 BHK,706.91,855.72,0,5,0,1,Semi-Furnished,1,2,1,1,2,Granite,1,1,0,1,1,Open,1,Tanker,3418.26,Koregaon Park,411001,Society,2.34,5.73,1.3,0.98,49840.17,21441521.52,30331.16,Builder,32
SYN-00027,synthetic,https://example.com/pune-listing/27,4 BHK,1139.06,1290.45,4,7,9,1,Semi-Furnished,0,5,5,3,5,Granite,0,0,1,1,1,Open,1,Tanker,5316.5,Kalyani Nagar,411006,Society,2.04,4.8,1.43,1.69,57068.96,24677143.14,21664.55,Owner,63
SYN-00028,synthetic,https://example.com/pune-listing/28,2 BHK,678.89,796.34,2,15,8,1,Unfurnished,0,3,1,0,3,Granite,0,0,0,1,0,Open,0,Borewell,1761.69,Hinjewadi,411057,Standalone,6.08,0.2,2.32,2.41,11750.74,7334545.56,10803.7,Owner,42
SYN-00029,synthetic,https://example.com/pune-listing/29,2 BHK,570.52,684.59,10,16,3,1,Unfurnished,1,2,1,1,4,Granite,1,1,0,0,0,None,0,Borewell,2075.84,Pimple Saudagar,411027,Society,4.07,4.69,1.38,2.06,13310.15,4412496.29,7734.17,Broker,23
SYN-00030,synthetic,https://example.com/pune-listing/30,3 BHK,682.08,770.3,7,7,8,1,Semi-Furnished,1,4,1,3,5,Vitrified,1,1,0,1,0,Covered,1,Tanker,2930.85,Baner,411045,Society,3.1,3.69,1.63,2.4,40644.48,16693803.78,24474.75,Owner,36
SYN-00031,synthetic,https://example.com/pune-listing/31,4 BHK,1209.76,1543.22,11,11,10,1,Semi-Furnished,1,5,4,2,7,Vitrified,1,1,0,0,0,Covered,1,Municipal,3138.38,Hinjewadi,411057,Society,5.54,0.84,1.92,2.37,42789.29,10271364.16,8490.4,Owner,27
SYN-00032,synthetic,https://example.com/pune-listing/32,2 BHK,633.25,767.93,8,10,3,1,Unfurnished,0,2,3,0,3,Wooden,1,1,0,1,0,Covered,1,Corporation + Borewell,2165.24,Wakad,411057,Society,4.12,2.24,2.39,2.41,15021.79,5283050.86,8342.79,Broker,58
SYN-00033,synthetic,https://example.com/pune-listing/33,2 BHK,501.36,546.77,1,11,7,1,Unfurnished,1,2,2,2,2,Granite,1,1,0,1,0,Covered,1,Municipal,898.8,Baner,411045,Society,2.1,2.62,1.8,2.37,26666.98,13757190.76,27439.49,Broker,32
SYN-00034,synthetic,https://example.com/pune-listing/34,2 BHK,633.27,794.77,8,19,0,1,Unfurnished,1,2,4,1,2,Wooden,1,1,0,0,0,Covered,0,Corporation + Borewell,1214.56,Hadapsar,411028,Society,5.57,2.46,2.43,1.77,13652.91,5794357.12,9149.85,Broker,41
SYN-00035,synthetic,https://example.com/pune-listing/35,4 BHK,1756.99,2064.85,5,10,15,1,Fully Furnished,1,4,4,3,7,Wooden,1,1,1,1,1,Covered,1,Municipal,8312.69,Baner,411045,Society,2.74,1.14,1.39,1.75,141485.08,30306134.35,17248.88,Owner,2
SYN-00036,synthetic,https://example.com/pune-listing/36,2 BHK,707.45,898.26,0,12,10,1,Semi-Furnished,1,2,1,2,3,Marble,1,1,1,1,1,Covered,1,Tanker,3439.93,Koregaon Park,411001,Standalone,2.29,3.73,1.45,0.81,44764.74,18611407.54,26307.9,Owner,43
SYN-00037,synthetic,https://example.com/pune-listing/37,1 BHK,391.07,478.91,12,13,7,1,Semi-Furnished,1,2,2,0,2,Granite,1,1,0,0,1,Stilt,0,Corporation + Borewell,800.0,Viman Nagar,411014,Society,1.39,6.06,1.72,1.56,12302.08,3715956.81,9502.12,Broker,7
SYN-00038,synthetic,https://example.com/pune-listing/38,2 BHK,721.46,918.21,2,11,4,1,Semi-Furnished,1,2,0,1,3,Vitrified,0,1,0,0,1,Bike,1,Corporation + Borewell,3862.94,Kharadi,411014,Standalone,4.1,1.76,1.65,2.3,21873.22,7690000.44,10658.97,Broker,12
SYN-00039,synthetic,https://example.com/pune-listing/39,1 BHK,464.52,533.66,5,9,10,1,Fully Furnished,0,1,1,0,2,Vitrified,0,1,0,1,0,Covered,1,,2084.21,Kothrud,411038,Standalone,1.15,7.75,1.77,1.62,14516.08,4879303.5,10503.93,Broker,17
SYN-00040,synthetic,https://example.com/pune-listing/40,1 BHK,442.62,563.4,16,16,13,1,Semi-Furnished,0,2,1,0,2,Ceramic,0,0,1,1,0,Open,1,Tanker,2449.37,Aundh,411007,Standalone,2.96,4.24,1.23,1.43,20737.7,5952042.12,13447.39,Owner,58
SYN-00041,synthetic,https://example.com/pune-listing/41,4 BHK,1680.16,1831.07,13,14,7,1,Semi-Furnished,1,5,3,3,5,Marble,0,0,0,0,0,Covered,0,Municipal,4790.27,Magarpatta,411013,Standalone,5.7,1.93,1.63,2.31,28430.74,21281854.24,12666.59,Broker,42
SYN-00042,synthetic,https://example.com/pune-listing/42,2 BHK,567.2,725.43,0,9,13,1,Semi-Furnished,1,3,3,1,3,Wooden,1,1,0,1,0,Covered,0,Corporation + Borewell,,Kharadi,411014,Society,5.09,1.75,2.39,1.82,19705.51,4450508.79,7846.43,Owner,11
SYN-00043,synthetic,https://example.com/pune-listing/43,1 BHK,487.5,587.62,2,8,9,1,Unfurnished,1,1,1,0,1,Vitrified,0,1,0,0,0,Covered,0,Municipal,800.0,Pimple Saudagar,411027,Standalone,3.92,4.43,1.6,1.61,9168.77,2901722.59,5952.22,Broker,37
SYN-00044,synthetic,https://example.com/pune-listing/44,1 BHK,417.41,477.01,12,13,9,1,Semi-Furnished,1,2,1,0,2,Vitrified,0,0,0,1,1,Covered,1,Corporation + Borewell,800.0,Viman Nagar,411014,Society,2.71,5.89,1.79,1.75,23388.35,6820712.4,16340.48,Builder,8
SYN-00045,synthetic,https://example.com/pune-listing/45,2 BHK,648.43,735.08,12,19,2,1,Semi-Furnished,1,2,1,1,2,Vitrified,1,1,0,1,0,Covered,0,Municipal,1139.63,Hinjewadi,411057,Society,5.78,0.2,2.45,2.78,13638.48,5205733.18,8028.15,Builder,5
SYN-00046,synthetic,https://example.com/pune-listing/46,2 BHK,354.3,385.38,14,14,7,1,Fully Furnished,1,2,1,2,4,Marble,1,0,1,1,0,Open,1,Municipal,1006.69,Koregaon Park,411001,Society,2.47,5.79,1.88,0.84,30531.3,11419607.79,32231.69,Owner,18
SYN-00047,synthetic,https://example.com/pune-listing/47,1 BHK,424.72,538.86,13,14,1,1,Semi-Furnished,1,1,2,0,1,Vitrified,1,1,0,0,1,Covered,0,Corporation + Borewell,2276.38,Kothrud,411038,Society,0.92,8.18,1.2,1.45,14134.43,3572694.72,8411.96,Owner,6
SYN-00048,synthetic,https://example.com/pune-listing/48,2 BHK,598.56,740.65,2,11,14,1,Semi-Furnished,1,3,2,1,3,Marble,1,0,1,1,0,Covered,1,Corporation + Borewell,1760.53,Kharadi,411014,Society,4.16,0.38,2.14,2.11,23567.87,5711389.35,9541.86,Builder,19
SYN-00049,synthetic,https://example.com/pune-listing/49,2 BHK,767.41,837.28,13,16,10,1,Unfurnished,1,2,1,1,4,Vitrified,0,1,0,0,0,Open,0,Municipal,2225.95,Pimple Saudagar,411027,Standalone,5.05,4.88,1.58,2.16,13309.56,4742463.44,6179.83,Broker,20
SYN-00050,synthetic,https://example.com/pune-listing/50,2 BHK,692.75,777.52,16,18,4,1,Unfurnished,0,2,2,1,3,Vitrified,0,0,0,0,0,Bike,0,Corporation + Borewell,1942.82,Hinjewadi,411057,Standalone,5.91,2.03,2.55,2.27,12263.82,8281831.3,11954.92,Broker,36
SYN-00051,synthetic,https://example.com/pune-listing/51,2 BHK,552.12,628.3,4,16,19,1,Semi-Furnished,1,2,2,0,2,Granite,1,1,0,0,0,Covered,0,Corporation + Borewell,2599.69,Hinjewadi,411057,Society,6.66,1.21,2.0,2.65,14748.13,5172950.31,9369.19,Owner,9
SYN-00052,synthetic,https://example.com/pune-listing/52,4 BHK,1069.76,1194.04,10,16,2,1,Unfurnished,1,4,3,2,7,Granite,1,1,0,1,0,Open,1,Municipal,3983.9,Kharadi,411014,Society,4.68,0.2,1.51,2.07,56648.93,12592571.83,11771.43,Broker,23
SYN-00053,synthetic,https://example.com/pune-listing/53,4 BHK,1688.78,2002.4,2,12,13,1,Fully Furnished,1,5,4,2,7,Ceramic,0,1,0,1,0,Open,0,Municipal,3708.01,Hinjewadi,411057,Standalone,5.08,1.02,2.06,2.5,28910.14,12056874.67,7139.4,Owner,36
SYN-00054,synthetic,https://example.com/pune-listing/54,3 BHK,1050.81,1262.35,3,12,3,1,Unfurnished,0,3,3,2,5,Ceramic,0,0,1,1,1,None,1,Municipal,3986.92,Koregaon Park,411001,Standalone,2.86,6.0,1.36,1.23,71026.49,27687275.54,26348.56,Builder,3
SYN-00055,synthetic,https://example.com/pune-listing/55,2 BHK,361.28,393.25,6,11,10,1,Unfurnished,0,3,1,0,4,Ceramic,0,0,0,1,0,Covered,1,Tanker,800.0,Kharadi,411014,Standalone,3.89,2.22,2.0,1.63,10953.41,2800000.0,7750.28,,9
SYN-00056,synthetic,https://example.com/pune-listing/56,2 BHK,707.89,795.61,6,13,6,1,Semi-Furnished,0,2,1,1,3,Ceramic,1,1,0,0,1,Covered,0,Tanker,1947.97,Pimple Saudagar,411027,Society,4.22,3.96,1.3,1.95,11603.37,5535276.73,7819.39,Owner,10
SYN-00057,synthetic,https://example.com/pune-listing/57,1 BHK,375.94,409.57,5,11,6,1,Semi-Furnished,1,2,0,1,1,Vitrified,1,1,1,1,1,None,1,Corporation + Borewell,1933.44,Baner,411045,Society,2.72,2.44,1.39,2.3,20681.83,11359687.13,30217.02,Owner,34
SYN-00058,synthetic,https://example.com/pune-listing/58,5 BHK,1723.45,2014.7,2,16,11,1,Unfurnished,1,5,5,3,6,Vitrified,0,1,0,1,0,Covered,0,Corporation + Borewell,4662.87,Hinjewadi,411057,Standalone,5.71,1.09,2.38,2.27,38501.52,10898875.23,6323.86,Owner,6
SYN-00059,synthetic,https://example.com/pune-listing/59,1 RK,426.82,478.06,5,11,5,1,Semi-Furnished,1,1,1,0,2,Vitrified,1,1,1,1,0,Open,1,Borewell,1958.27,Aundh,411007,Society,3.25,2.73,1.32,1.33,20748.69,7089665.23,16610.24,Owner,6
SYN-00060,synthetic,https://example.com/pune-listing/60,4 BHK,1376.88,1497.92,1,6,0,1,Semi-Furnished,1,3,3,2,4,Vitrified,1,0,0,1,1,,1,Municipal,6913.1,Koregaon Park,411001,Society,2.6,5.44,1.54,1.4,66161.94,43219462.78,31389.44,Owner,25
SYN-00061,synthetic,https://example.com/pune-listing/61,3 BHK,1118.94,1380.81,8,9,3,1,Unfurnished,0,4,3,3,4,Marble,1,1,1,1,1,None,1,Borewell,5496.47,Kalyani Nagar,411006,Society,3.1,4.43,1.43,1.67,79310.27,18231448.4,16293.54,Owner,25
SYN-00062,synthetic,https://example.com/pune-listing/62,3 BHK,1206.64,1366.75,6,10,18,1,Fully Furnished,0,3,3,3,3,Vitrified,0,1,1,1,0,Covered,1,Corporation + Borewell,,Baner,411045,Society,2.63,3.91,1.99,2.35,61983.04,19094441.46,15824.46,Owner,51
SYN-00063,synthetic,https://example.com/pune-listing/63,1 BHK,440.1,497.61,9,14,11,1,Semi-Furnished,1,1,1,0,1,Wooden,1,1,1,1,0,Bike,1,Tanker,1511.18,Viman Nagar,411014,Society,2.41,5.35,1.46,1.37,18515.73,4656875.91,10581.34,Broker,20
SYN-00064,synthetic,https://example.com/pune-listing/64,2 BHK,714.85,913.1,1,14,15,1,Fully Furnished,1,2,1,2,4,Granite,1,1,1,0,1,Covered,1,Corporation + Borewell,2730.85,Koregaon Park,411001,Society,1.86,6.11,1.22,0.94,51987.47,16916430.0,23664.4,Broker,22
SYN-00065,synthetic,https://example.com/pune-listing/65,2 BHK,545.54,668.66,9,10,13,1,Fully Furnished,0,2,2,1,4,Marble,1,1,1,1,1,Covered,1,Borewell,1879.21,Aundh,411007,Standalone,2.58,3.68,1.62,1.33,18517.53,12042500.93,22074.55,Owner,35
SYN-00066,synthetic,https://example.com/pune-listing/66,2 BHK,621.6,774.11,0,13,10,1,Semi-Furnished,1,3,3,1,3,Vitrified,0,0,1,1,1,Covered,0,Municipal,800.0,Kharadi,411014,Standalone,3.98,1.76,1.95,2.48,16787.64,10898924.4,17533.59,Owner,23
SYN-00067,synthetic,https://example.com/pune-listing/67,3 BHK,928.11,1080.05,7,21,11,1,Unfurnished,1,4,3,2,6,Vitrified,1,1,1,0,0,Covered,1,Municipal,3188.07,Nigdi,411044,Society,4.02,11.54,1.64,1.89,19048.65,6234527.69,6717.45,Broker,20
SYN-00068,synthetic,https://example.com/pune-listing/68,3 BHK,973.3,1224.9,6,11,1,1,Semi-Furnished,1,3,3,2,3,Vitrified,1,1,0,1,0,Stilt,0,Corporation + Borewell,3663.29,Hadapsar,411028,Society,5.32,0.49,2.45,1.93,31534.48,8206763.68,8431.94,Builder,24
SYN-00069,synthetic,https://example.com/pune-listing/69,2 BHK,700.23,817.46,5,14,12,1,Unfurnished,0,2,2,1,3,Marble,1,1,0,0,1,Covered,1,Municipal,1660.13,Magarpatta,411013,Society,3.81,1.42,1.63,2.49,19498.3,4639191.97,6625.27,Owner,4
SYN-00070,synthetic,https://example.com/pune-listing/70,3 BHK,929.47,1072.28,13,13,10,1,Unfurnished,0,4,2,1,5,Ceramic,1,1,0,0,1,,0,Municipal,2555.14,Hinjewadi,411057,Society,6.39,0.32,2.62,2.8,26996.25,7049511.44,7584.46,Owner,100
SYN-00071,synthetic,https://example.com/pune-listing/71,4 BHK,1329.68,1606.87,12,17,2,1,Unfurnished,0,4,3,3,5,Granite,0,1,0,0,0,Bike,0,Municipal,2269.59,Magarpatta,411013,Society,5.11,2.33,1.82,2.55,34978.77,7704495.12,5794.24,Broker,11
SYN-00072,synthetic,https://example.com/pune-listing/72,1 BHK,433.79,501.05,6,15,6,1,Semi-Furnished,1,1,2,0,1,Marble,1,1,0,0,0,Covered,1,Corporation + Borewell,1405.38,Aundh,411007,Society,3.2,5.19,1.56,1.8,16976.91,3989424.85,9196.72,,25
SYN-00073,synthetic,https://example.com/pune-listing/73,1 BHK,452.61,491.17,3,9,12,1,Unfurnished,1,1,1,0,1,Vitrified,0,1,0,0,0,Covered,0,Borewell,1013.7,Hinjewadi,411057,Society,6.49,0.97,2.25,2.52,7515.99,2800000.0,6186.34,Owner,76
SYN-00074,synthetic,https://example.com/pune-listing/74,2 BHK,368.1,412.08,1,19,15,1,Fully Furnished,1,2,2,1,3,Ceramic,1,1,0,0,0,Covered,0,Tanker,800.0,Wakad,411057,Standalone,5.43,3.76,1.7,2.44,13196.59,3009688.05,8176.38,Broker,22
SYN-00075,synthetic,https://example.com/pune-listing/75,3 BHK,1368.56,1593.05,7,17,6,1,Fully Furnished,1,3,3,1,4,Wooden,0,1,0,0,0,Bike,0,Municipal,3440.16,Nigdi,411044,Society,2.67,10.02,1.7,2.63,48664.62,12300615.03,8988.01,Broker,12
SYN-00076,synthetic,https://example.com/pune-listing/76,3 BHK,1243.92,1510.46,9,12,9,1,Fully Furnished,1,4,3,1,6,Ceramic,1,1,0,0,0,Stilt,0,Tanker,5668.72,Kothrud,411038,Society,1.54,7.7,1.92,1.24,67722.9,21419156.26,17219.13,Owner,3
SYN-00077,synthetic,https://example.com/pune-listing/77,3 BHK,798.5,927.92,3,11,7,1,Unfurnished,0,4,2,2,4,Ceramic,1,1,1,0,1,None,0,Municipal,,Kharadi,411014,Society,3.85,0.46,2.14,1.56,21842.44,8190269.51,10257.01,Broker,19
SYN-00078,synthetic,https://example.com/pune-listing/78,3 BHK,1069.15,1266.96,12,16,6,1,Unfurnished,0,4,1,1,5,Vitrified,1,1,0,0,0,Stilt,1,Borewell,,Hinjewadi,411057,Society,6.62,0.24,2.45,2.92,40108.96,7520171.6,7033.79,,4
SYN-00079,synthetic,https://example.com/pune-listing/79,3 BHK,745.65,931.56,5,9,6,1,Fully Furnished,1,3,2,2,5,Ceramic,1,1,0,1,1,Covered,1,Municipal,2526.73,Kalyani Nagar,411006,Standalone,2.06,5.56,0.94,1.56,67321.08,25505128.33,34205.15,Broker,29
SYN-00080,synthetic,https://example.com/pune-listing/80,3 BHK,652.16,733.28,10,15,12,1,Fully Furnished,1,4,2,1,4,Wooden,1,1,1,1,0,Covered,1,Municipal,2376.29,Kothrud,411038,Society,1.51,7.19,1.64,1.47,27390.27,7763394.65,11904.18,Owner,12
SYN-00081,synthetic,https://example.com/pune-listing/81,1 BHK,404.42,446.8,10,15,5,1,Unfurnished,1,1,1,0,2,Marble,1,1,0,1,0,None,1,Municipal,,Aundh,411007,Society,3.84,3.28,1.5,1.57,14050.06,4707642.45,11640.39,Owner,70
SYN-00082,synthetic,https://example.com/pune-listing/82,2 BHK,607.1,768.73,8,15,14,1,Unfurnished,0,2,1,1,3,Ceramic,1,1,0,1,0,None,0,Tanker,1599.5,Hadapsar,411028,Society,5.56,1.96,2.03,1.73,18451.66,4251840.26,7003.57,,35
SYN-00083,synthetic,https://example.com/pune-listing/83,3 BHK,648.16,741.7,10,11,10,1,Fully Furnished,1,4,3,2,6,,1,1,0,0,0,Covered,1,Municipal,1688.93,Hinjewadi,411057,Society,5.77,0.54,2.04,2.84,18969.07,5363718.55,8275.28,Owner,24
SYN-00084,synthetic,https://example.com/pune-listing/84,1 BHK,488.56,577.05,2,11,12,1,Semi-Furnished,1,2,2,0,1,Ceramic,1,1,0,0,0,Covered,0,Municipal,1499.03,Hadapsar,411028,Society,4.82,1.98,2.08,2.32,13012.61,3511879.97,7188.29,Owner,49
SYN-00085,synthetic,https://example.com/pune-listing/85,1 BHK,495.91,,4,14,10,1,Semi-Furnished,1,1,0,0,2,Granite,1,1,0,0,0,Stilt,0,Municipal,860.38,Hadapsar,411028,Society,5.51,1.08,2.72,1.93,11429.76,3410915.52,6878.1,Owner,76
SYN-00086,synthetic,https://example.com/pune-listing/86,3 BHK,737.98,865.05,11,12,6,1,Semi-Furnished,1,3,3,1,4,Vitrified,0,1,0,1,0,Covered,1,Corporation + Borewell,1943.98,Kharadi,411014,Standalone,5.37,2.07,2.0,2.31,28880.76,7375210.72,9993.81,Broker,37
SYN-00087,synthetic,https://example.com/pune-listing/87,1 BHK,561.59,,9,11,12,1,Unfurnished,1,1,0,0,1,Marble,1,1,1,0,1,Stilt,0,Tanker,2255.29,Kothrud,411038,Society,1.75,7.9,0.83,1.59,25768.05,7163304.0,12755.48,Builder,47
SYN-00088,synthetic,https://example.com/pune-listing/88,1 BHK,390.47,442.84,10,13,11,1,Unfurnished,0,1,0,0,1,Marble,1,1,0,0,0,Covered,1,Municipal,865.71,Hadapsar,411028,Society,5.5,2.38,2.43,2.62,8427.34,3205089.4,8208.39,Broker,12
SYN-00089,synthetic,https://example.com/pune-listing/89,2 BHK,468.94,518.07,4,9,8,1,Unfurnished,1,3,3,2,2,Vitrified,1,1,0,1,0,Stilt,0,Tanker,1590.52,Koregaon Park,411001,Standalone,2.24,5.55,1.82,1.18,22880.77,10566615.07,22532.82,Owner,24
SYN-00090,synthetic,https://example.com/pune-listing/90,3 BHK,1031.71,1173.74,4,12,9,1,Semi-Furnished,1,3,3,2,6,Wooden,1,0,0,1,1,Covered,1,Borewell,,Pimple Saudagar,411027,Society,4.73,5.95,1.66,2.39,23262.12,6155288.06,5966.09,Owner,20
